Policy: Stanley
Seen length: 10
Model: Kinematic 
10 5 -1.57
-3
0.01
5000
5.000000000000001 5.000000000000002
4.999999999999999 7.346938775510197
4.999999999999999 9.693877551020394
5.0               12.040816326530598
4.999999999999998 14.387755102040794
4.999999999999998 16.734693877550995
4.999999999999997 19.0816326530612
4.999999999999998 21.428571428571402
4.999999999999999 23.775510204081606
4.999999999999997 26.12244897959181
4.999999999999997 28.46938775510201
4.999999999999997 30.816326530612216
4.999999999999998 33.163265306122426
4.999999999999998 35.51020408163262
4.999999999999998 37.85714285714284
4.999999999999999 40.20408163265305
4.999999999999999 42.551020408163254
5.0               44.89795918367347
4.999999999999999 47.24489795918367
5.0               49.59183673469388
4.999999999999999 51.938775510204074
4.999999999999999 54.28571428571429
5.0               56.63265306122448
5.000000000000001 58.979591836734706
5.0               61.32653061224491
0 63.67346938775513
0 66.02040816326532
0 68.36734693877553
0 70.71428571428574
0 73.06122448979595
0 75.40816326530614
0 77.75510204081635
0 80.10204081632656
0 82.44897959183675
0 84.79591836734696
0 87.14285714285717
0 89.48979591836738
0 91.83673469387756
0 94.18367346938777
0 96.53061224489797
0 98.87755102040816
0               101.22448979591833
0               103.57142857142856
0               105.91836734693875
0 108.26530612244895
0 110.61224489795913
0 112.95918367346934
0 115.30612244897956
0 117.65306122448976
0               120.0
